brand,freezer_capacity,number_of_reviews,price,product_description,ratings,total_capacity
Whirlpool,,517,$599.99 ,Whirlpool - 17.7 Cu. Ft. Top-Freezer Refrigerator - Black,4.5,
GE,,64,"$3,084.99 ",GE - Profile Series 27.8 Cu. Ft. French Door Refrigerator - Black Slate,4.3,
Whirlpool,,67,$499.99 ,Whirlpool - 14.3 Cu. Ft. Top-Freezer Refrigerator - Black,4.5,
Viking,,2,"$9,359.00 ",Viking - Professional 5 Series Quiet Cool 20.4 Cu. Ft. Bottom-Freezer Built-In Refrigerator - Stainless steel,3,
Frigidaire,,1,$584.99 ,Frigidaire - 10.1 Cu. Ft. Top-Freezer Refrigerator - Brushed Steel,4,
Viking,,1,"$7,149.00 ",Viking - Professional 5 Series Quiet Cool 22 Cu. Ft. Refrigerator,5,
Whirlpool,,1,"$1,529.99 ",Whirlpool - 19.7 Cu. Ft. French Door Refrigerator - Stainless steel,4,
Whirlpool,,1,"$3,099.99 ",Whirlpool - 19.7 Cu. Ft. French Door Counter-Depth Refrigerator - Stainless steel,4,
GE,,63,"$1,999.99 ",GE - 23.8 Cu. Ft. French Door Refrigerator - Slate,4.3,
Whirlpool,,31,"$1,079.99 ",Whirlpool - 21.7 Cu. Ft. Side-by-Side Refrigerator - Black,4.1,
Whirlpool,,73,"$1,349.99 ",Whirlpool - 24.5 Cu. Ft. Side-by-Side Refrigerator - Black stainless steel,4,
GE,,6,"$1,439.99 ",GE - 21.2 Cu. Ft. Top-Freezer Refrigerator - Slate,3.3,
Whirlpool,,2,"$2,339.99 ",Whirlpool - 22.7 Cu. Ft. Side-by-Side Refrigerator - Monochromatic Stainless Steel,3.5,
Frigidaire,,NA,$644.99 ,Frigidaire - 11.6 Cu. Ft. Top-Freezer Refrigerator - Brushed Steel,,
Thermador,,NA,"$5,799.00 ",Thermador - Freedom 13 Cu. Ft. Built-In Refrigerator,,
Café,,25,"$3,174.99 ",Café - 27.8 Cu. Ft. French Door Refrigerator with Hot Water Dispenser - Matte Black,4.2,
Café,,25,"$3,264.99 ",Café - 27.8 Cu. Ft. French Door Refrigerator with Hot Water Dispenser - Matte White,4.2,
Whirlpool,,1,"$1,169.99 ",Whirlpool - 21.4 Cu. Ft. Side-by-Side Refrigerator - Monochromatic Stainless Steel,5,
Haier,,15,$564.99 ,Haier - 9.8 Cu. Ft. Top-Freezer Refrigerator - Stainless steel,4.7,
LG,,5,"$2,834.99 ",LG - 21.9 Cu. Ft. French InstaView Door-in-Door Counter-Depth Refrigerator - PrintProof Stainless Steel,4.6,
Whirlpool,,1,"$1,619.99 ",Whirlpool - 19.7 Cu. Ft. French Door Refrigerator - Sunset Bronze,4,
Whirlpool,,1,"$1,259.99 ",Whirlpool - 24.6 Cu. Ft. Side-by-Side Refrigerator - White,5,
Café,,2,"$2,159.99 ",Café - 18.6 Cu. Ft. French Door Counter-Depth Refrigerator - Matte Black,4,
Café,,2,"$2,069.99 ",Café - 18.6 Cu. Ft. French Door Counter-Depth Refrigerator - Stainless steel,4,
Whirlpool,,67,"$1,079.99 ",Whirlpool - 25.1 Cu. Ft. Side-by-Side Refrigerator - Black,4.3,
Whirlpool,,1,"$1,649.99 ",Whirlpool - 25.2 Cu. Ft. French Door Refrigerator - Stainless steel,4,
